Timestamp,model 1,model 2,model 3,model 4,model 5,average
2016-05-31 13:00:00+00:00,0.9991473,0.9850725,1.0017495,0.9772485,0.9814897,0.9889415
2016-05-31 13:10:00+00:00,0.9986901,0.9845891,1.0012344,0.9768559,0.9810963,0.98849314
2016-05-31 13:20:00+00:00,0.9982432,0.98409545,1.0006859,0.97643685,0.9807223,0.98803675
2016-05-31 13:30:00+00:00,0.9976262,0.9834404,0.9998779,0.97586596,0.98019266,0.98740065
2016-05-31 13:40:00+00:00,0.9971566,0.982921,0.99932134,0.9754338,0.97981817,0.9869302
2016-05-31 13:50:00+00:00,0.9966581,0.98231375,0.9986938,0.9749339,0.9793657,0.9863931
2016-05-31 14:00:00+00:00,0.9962547,0.98175967,0.99820495,0.9744855,0.97904664,0.9859503
2016-05-31 14:10:00+00:00,0.99582326,0.98124087,0.99766004,0.97404844,0.9787134,0.9854972
2016-05-31 14:20:00+00:00,0.9955597,0.9808477,0.9973707,0.97374886,0.97853947,0.9852133
2016-05-31 14:30:00+00:00,0.9949337,0.98020434,0.9966184,0.9731784,0.97812426,0.9846118
2016-05-31 14:40:00+00:00,0.9945575,0.9798062,0.99614084,0.9728506,0.9778907,0.9842491
2016-05-31 14:50:00+00:00,0.9942087,0.9794589,0.99573004,0.9725433,0.9777184,0.98393184
2016-05-31 15:00:00+00:00,0.99369216,0.9789851,0.9949508,0.97209823,0.97733307,0.9834119
2016-05-31 15:10:00+00:00,0.9931667,0.9784988,0.99414885,0.97164387,0.9769099,0.9828736
2016-05-31 15:20:00+00:00,0.9926665,0.97804654,0.9933952,0.9712259,0.97648,0.98236287
2016-05-31 15:30:00+00:00,0.9919375,0.9773681,0.992345,0.9706042,0.97590065,0.9816311
2016-05-31 15:40:00+00:00,0.9910432,0.97655654,0.99111295,0.9698559,0.97517496,0.98074865
2016-05-31 15:50:00+00:00,0.9903772,0.97587943,0.9902091,0.96927226,0.9745964,0.9800669
2016-05-31 16:00:00+00:00,0.98972595,0.975201,0.989234,0.9686844,0.9740157,0.9793722
2016-05-31 16:10:00+00:00,0.98929334,0.97473955,0.9886321,0.96831,0.9736184,0.9789187
2016-05-31 16:20:00+00:00,0.98881114,0.97427535,0.9879259,0.96792877,0.9731797,0.9784242
2016-05-31 16:30:00+00:00,0.988376,0.9737388,0.98724115,0.9675141,0.97273666,0.97792137
2016-05-31 16:40:00+00:00,0.98794746,0.9731078,0.98650384,0.9670519,0.97225523,0.9773733
2016-05-31 16:50:00+00:00,0.9875753,0.97254336,0.9858364,0.96664107,0.97180045,0.9768793
2016-05-31 17:00:00+00:00,0.987304,0.97210026,0.9852755,0.9663322,0.9714445,0.9764913
2016-05-31 17:10:00+00:00,0.98699474,0.9717368,0.9846766,0.9660618,0.9711043,0.97611487
2016-05-31 17:20:00+00:00,0.986773,0.97143626,0.9842546,0.9658537,0.9708486,0.97583324
2016-05-31 17:30:00+00:00,0.9866197,0.9712843,0.98391664,0.9657527,0.97066367,0.97564733
2016-05-31 17:40:00+00:00,0.9864918,0.9712161,0.9836781,0.9657057,0.9705391,0.97552615
2016-05-31 17:50:00+00:00,0.9863447,0.9711461,0.98344326,0.96565497,0.97041595,0.97540104
2016-05-31 18:00:00+00:00,0.98622906,0.9711045,0.9832282,0.96562153,0.97033566,0.97530377
2016-05-31 18:10:00+00:00,0.98609936,0.97105944,0.98298323,0.96558064,0.97024524,0.9751936
2016-05-31 18:20:00+00:00,0.98600364,0.9710258,0.9828428,0.96555424,0.97018933,0.9751232
2016-05-31 18:30:00+00:00,0.98590004,0.9709796,0.982687,0.9655143,0.9701121,0.9750385
2016-05-31 18:40:00+00:00,0.9857516,0.970875,0.9824798,0.9654298,0.96998394,0.97490406
2016-05-31 18:50:00+00:00,0.9855468,0.9706657,0.982268,0.9652756,0.9697875,0.9747087
2016-05-31 19:00:00+00:00,0.98539376,0.97057617,0.982044,0.96520615,0.96964514,0.974573
2016-05-31 19:10:00+00:00,0.98528504,0.9704864,0.9818361,0.9651445,0.96952426,0.97445524
2016-05-31 19:20:00+00:00,0.9849855,0.9701569,0.98145044,0.964882,0.9691886,0.9741327
2016-05-31 19:30:00+00:00,0.9847312,0.96980166,0.98111093,0.9646182,0.968863,0.973825
2016-05-31 19:40:00+00:00,0.9845153,0.96947527,0.98082256,0.96438676,0.9685494,0.97354984
2016-05-31 19:50:00+00:00,0.98433745,0.96923995,0.9805548,0.9642041,0.9683286,0.973333
2016-05-31 20:00:00+00:00,0.98402584,0.96888435,0.98016214,0.96391034,0.968005,0.97299755
2016-05-31 20:10:00+00:00,0.9836911,0.96849525,0.9797826,0.96359205,0.96768904,0.97264993
2016-05-31 20:20:00+00:00,0.9833914,0.9681177,0.97940457,0.9632849,0.9673949,0.97231877
2016-05-31 20:30:00+00:00,0.98301184,0.9676571,0.9789814,0.962913,0.9669906,0.9719108
2016-05-31 20:40:00+00:00,0.982391,0.9670167,0.978178,0.9623339,0.9664049,0.97126484
2016-05-31 20:50:00+00:00,0.981616,0.96626437,0.977147,0.9616359,0.9657338,0.97047937
2016-05-31 21:00:00+00:00,0.98095655,0.9655994,0.976303,0.96104765,0.96515644,0.9698126
